# x_m,y_m,w_tr_right_m,w_tr_left_m
187.8474775,-547.483407,7.795,7.505
190.3443705,-547.401687,7.815,7.485
192.841381,-547.322323,7.826,7.474
195.3385485,-547.244977,7.835,7.465
197.8359105,-547.169311,7.843,7.457
200.3335055,-547.094985,7.852,7.448
202.831371,-547.021661,7.861,7.439
205.329545,-546.949001,7.870,7.430
207.828066,-546.876664,7.879,7.421
210.326972,-546.804313,7.888,7.412
212.826301,-546.731608,7.897,7.403
215.326091,-546.658212,7.906,7.394
217.8263805,-546.583784,7.914,7.386
220.327207,-546.507987,7.923,7.377
222.8286085,-546.430481,7.932,7.368
225.3306065,-546.350699,7.941,7.359
227.83291,-546.264006,7.950,7.350
230.3349635,-546.162273,7.959,7.341
232.8362015,-546.037261,7.968,7.332
235.3360595,-545.880728,7.977,7.323
237.8339725,-545.684433,7.985,7.315
240.329375,-545.440137,7.994,7.306
242.821703,-545.139598,8.003,7.297
245.31039,-544.774575,7.971,7.329
247.7948725,-544.336827,7.930,7.370
250.2745845,-543.818114,7.890,7.410
252.748962,-543.210196,7.850,7.450
255.2174385,-542.504835,7.809,7.491
257.6792645,-541.696030,7.797,7.503
260.1332235,-540.783424,7.816,7.484
262.5780245,-539.767545,7.835,7.465
265.012379,-538.648916,7.854,7.446
267.434996,-537.428063,7.873,7.427
269.8445865,-536.105513,7.889,7.411
272.23986,-534.681790,7.904,7.396
274.619527,-533.157420,7.920,7.380
276.982298,-531.532928,7.936,7.364
279.3268825,-529.808840,7.899,7.401
281.651991,-527.985681,7.844,7.456
283.9563335,-526.063977,7.790,7.510
286.2386825,-524.044353,7.736,7.564
288.4983415,-521.928292,7.762,7.538
290.7348865,-519.717715,7.812,7.488
292.9478955,-517.414547,7.863,7.437
295.1369465,-515.020712,7.913,7.387
297.301617,-512.538135,7.963,7.337
299.441485,-509.968741,7.904,7.396
301.5561285,-507.314453,7.823,7.477
303.6451255,-504.577198,7.743,7.557
305.7080535,-501.758899,7.675,7.625
307.744491,-498.861481,7.667,7.633
309.7540155,-495.886868,7.660,7.640
311.736205,-492.836986,7.654,7.646
313.6906375,-489.713759,7.652,7.648
315.6168905,-486.519110,7.651,7.649
317.5145425,-483.254966,7.642,7.658
319.383171,-479.923251,7.582,7.718
321.222354,-476.525888,7.522,7.778
