# x_m,y_m,w_tr_right_m,w_tr_left_m
-248.249949,-59.5465285,4.523,3.910
-249.335194,-57.080745,4.519,4.155
-251.36246,-54.7873705,4.412,4.201
-254.339163,-52.792135,4.340,4.645
-257.657256,-50.910645,4.362,4.646
-260.911603,-49.0053925,4.384,4.647
-264.114444,-47.0820585,4.405,4.649
-267.302756,-45.1548055,4.427,4.650
-270.501321,-43.233027,4.449,4.652
-273.709876,-41.3163275,4.471,4.653
-276.925083,-39.403109,4.492,4.655
-280.143604,-37.491773,4.514,4.656
-283.362101,-35.5807205,4.536,4.657
-286.577235,-33.668354,4.558,4.659
-289.785668,-31.7530745,4.579,4.660
-292.984061,-29.8332835,4.601,4.662
-296.169076,-27.9073825,4.608,4.648
-299.337376,-25.973774,4.562,4.584
-302.485621,-24.0308585,4.516,4.519
-305.610473,-22.0770385,4.471,4.455
-308.708594,-20.110715,4.425,4.391
-311.77791,-18.130888,4.380,4.326
-314.832955,-16.1444185,4.334,4.262
-317.89996,-14.163705,4.288,4.197
-321.005399,-12.2012605,4.243,4.133
-324.175749,-10.2695985,4.197,4.069
-327.437485,-8.3812325,4.151,4.004
-330.817081,-6.5486765,4.235,4.020
-334.337701,-4.78341,4.340,4.013
-338.000642,-3.090096,4.461,3.984
-341.798343,-1.470635,4.372,4.252
-345.723219,0.0730805,4.321,4.395
-349.767684,1.539158,4.445,4.084
-353.924151,2.925705,4.467,3.954
-358.185033,4.2308295,4.288,4.178
-362.526536,5.4669575,4.109,4.402
-366.867208,6.697442,3.933,4.624
-371.112785,7.996954,4.116,4.410
-375.171129,9.4383695,4.302,4.215
-379.01597,11.0389895,4.509,4.185
-382.697981,12.7511905,4.657,4.198
-386.271862,14.5238605,4.352,4.539
-389.748492,16.3309195,4.062,4.856
-393.051704,18.1960095,4.118,4.626
-396.095052,20.1486435,4.129,4.437
-398.801279,22.215338,4.062,4.321
-401.209508,24.384656,4.131,4.229
-403.438752,26.619106,4.703,4.227
-405.607205,28.8813075,4.984,4.352
-407.761186,31.152587,4.588,4.770
-409.864152,33.4358365,4.193,5.188
-411.874968,35.735145,4.378,4.975
-413.752495,38.054602,4.585,4.738
-415.455596,40.3982955,4.513,4.556
-416.943135,42.770314,4.325,4.396
-418.177419,45.17432,4.214,4.283
-419.163478,47.6086745,4.328,4.306
-419.935224,50.068158,4.441,4.330
-420.527113,52.5474815,4.281,4.364
-420.973603,55.0413575,4.122,4.398
-421.30915,57.5444975,4.073,4.414
-421.56821,60.051614,4.115,4.414
-421.781989,62.5579845,4.151,4.409
-421.961257,65.062445,4.111,4.317
-422.108869,67.56521,4.070,4.226
-422.227664,70.066496,4.030,4.135
-422.32048,72.5665205,4.065,4.142
-422.390153,75.0655005,4.101,4.149
-422.439521,77.5636535,4.136,4.156
-422.471423,80.061196,4.171,4.163
-422.488695,82.558346,4.207,4.170
-422.494176,85.0553195,4.242,4.177
-422.490704,87.552335,4.278,4.184
-422.481115,90.0496085,4.313,4.191
-422.468248,92.5473575,4.348,4.198
-422.454937,95.0457985,4.384,4.206
-422.443564,97.5450455,4.419,4.213
-422.435653,100.0450195,4.454,4.220
-422.432627,102.545617,4.490,4.227
-422.435912,105.0467375,4.525,4.234
-422.446931,107.548278,4.560,4.241
-422.46711,110.0501365,4.596,4.248
-422.497873,112.5522115,4.631,4.255
-422.540644,115.0544005,4.666,4.262
-422.596848,117.5566015,4.702,4.270
-422.667911,120.058713,4.737,4.277
-422.755255,122.560632,4.773,4.284
-422.860307,125.0622575,4.808,4.291
-422.98449,127.563487,4.833,4.296
-423.141869,130.062796,4.667,4.255
-423.49753,132.541658,4.495,4.258
-424.315978,134.970356,4.324,4.387
-425.863443,137.318972,4.259,4.344
-428.32029,139.537663,4.329,4.591
-431.581782,141.51043,4.462,4.449
-435.484088,143.107564,4.522,4.330
-439.867273,144.221366,4.902,4.228
-444.594867,144.8767255,4.803,4.760
-449.539138,145.147931,4.909,4.968
-454.572204,145.108874,4.940,4.973
-459.550116,144.7868135,4.935,4.689
-464.322002,144.1395945,4.826,4.410
-468.985385,143.28934,4.507,4.341
-473.735569,142.443763,4.074,4.477
-478.576864,141.736861,4.100,4.480
-483.475285,141.2877015,4.419,4.447
-488.396506,141.211685,4.468,4.524
-493.297562,141.5313585,4.318,4.540
-498.126389,142.1714375,4.271,4.568
-502.830642,143.0522305,4.536,4.537
-507.371412,144.1168465,4.653,4.590
-511.733541,145.3486995,4.280,4.847
-515.9043,146.735322,4.297,4.721
-519.870962,148.264249,4.414,4.523
-523.620796,149.923014,4.573,4.347
-527.141075,151.6991505,4.633,4.392
-530.419463,153.580251,4.660,4.514
-533.453233,155.555342,4.564,4.659
-536.24958,157.6149325,4.241,4.845
-538.816156,159.749597,4.129,4.845
-541.160613,161.9499125,4.285,4.611
-543.290601,164.206455,4.191,4.670
-545.213773,166.5098,4.190,4.651
-546.938643,168.850781,4.292,4.545
-548.482909,171.2229635,4.393,4.440
-549.869807,173.6215645,4.371,4.444
-551.122655,176.041822,4.349,4.447
-552.264766,178.4789745,4.328,4.451
-553.319455,180.9282615,4.306,4.455
-554.310039,183.3849215,4.290,4.458
-555.257111,185.8447585,4.319,4.448
-556.166278,188.3066885,4.349,4.438
-557.038008,190.770695,4.378,4.429
-557.872767,193.236762,4.408,4.419
-558.67102,195.704874,4.424,4.423
-559.433233,198.175015,4.337,4.537
-560.159869,200.647169,4.250,4.651
-560.851395,203.1213205,4.163,4.765
-561.508276,205.597453,4.129,4.763
-562.130977,208.0755515,4.144,4.656
-562.719962,210.5555995,4.158,4.549
-563.275698,213.0375815,4.173,4.442
-563.798648,215.5214815,4.188,4.334
-564.289293,218.007283,4.202,4.227
-564.749231,220.494908,4.207,4.188
-565.181965,222.9841755,4.212,4.154
-565.591188,225.4748935,4.216,4.120
-565.980589,227.96687,4.221,4.086
-566.353861,230.459913,4.225,4.053
-566.714694,232.9538315,4.229,4.019
-567.066778,235.448433,4.240,4.018
-567.413806,237.9435265,4.257,4.046
-567.759468,240.438919,4.273,4.075
-568.107455,242.93442,4.290,4.103
-568.461458,245.4298375,4.306,4.132
-568.825168,247.924979,4.323,4.161
-569.202276,250.419653,4.339,4.189
-569.595958,252.9136865,4.356,4.218
-570.004094,255.407095,4.372,4.246
-570.421459,257.900004,4.389,4.275
-570.842786,260.392542,4.405,4.303
-571.262808,262.884836,4.422,4.332
-571.676258,265.377014,4.438,4.361
-572.07787,267.869204,4.455,4.389
-572.462377,270.3615335,4.472,4.418
-572.824512,272.8541295,4.476,4.447
-573.15901,275.347121,4.418,4.480
-573.460602,277.8406345,4.360,4.513
-573.724024,280.334798,4.303,4.546
-573.944007,282.8297395,4.245,4.579
-574.115287,285.3255865,4.188,4.612
-574.234569,287.822409,4.199,4.548
-574.304314,290.320108,4.209,4.485
-574.328031,292.8185535,4.220,4.421
-574.309227,295.3176165,4.247,4.347
-574.251413,297.817167,4.364,4.216
-574.158096,300.317075,4.482,4.084
-574.032786,302.8172115,4.534,3.999
-573.878989,305.3174465,4.326,4.111
-573.700216,307.8176505,4.257,4.190
-573.499974,310.317694,4.188,4.268
-573.281772,312.8174475,4.119,4.347
-573.049119,315.3167805,4.050,4.425
-572.805524,317.8155645,3.985,4.500
-572.554492,320.313669,4.064,4.468
-572.298358,322.811,4.144,4.436
-572.036057,325.307562,4.223,4.404
-571.765919,327.8033795,4.302,4.372
-571.486272,330.298475,4.381,4.340
-571.195445,332.792873,4.460,4.308
-570.891767,335.2865965,4.539,4.276
-570.573566,337.7796695,4.521,4.264
-570.239171,340.2721145,4.398,4.273
-569.886911,342.763956,4.275,4.283
-569.515114,345.2552175,4.152,4.292
-569.122109,347.7459215,4.029,4.302
-568.706224,350.2360925,3.952,4.317
-568.265789,352.725754,3.963,4.344
-567.799137,355.214921,3.974,4.372
-567.304728,357.7034325,3.985,4.399
-566.781143,360.190959,3.997,4.427
-566.226965,362.6771625,4.049,4.375
-565.640779,365.1617055,4.132,4.263
-565.021171,367.644251,4.215,4.150
-564.366726,370.124462,4.298,4.038
-563.676027,372.6020005,4.368,4.006
-562.94766,375.076529,4.429,4.030
-562.180209,377.5477105,4.490,4.053
-561.37226,380.015208,4.533,4.090
-560.522397,382.4786835,4.427,4.241
-559.629205,384.9378,4.321,4.393
-558.69127,387.39222,4.215,4.544
-557.70785,389.8417055,4.173,4.644
-556.681672,392.2865295,4.174,4.711
-555.616568,394.727128,4.176,4.778
-554.516369,397.1639365,4.171,4.673
-553.384908,399.5973905,4.163,4.467
-552.226017,402.0279265,4.155,4.261
-551.043528,404.45598,4.147,4.056
-549.841273,406.881987,4.151,4.025
-548.623085,409.306383,4.158,4.041
-547.392796,411.729604,4.165,4.056
-546.154238,414.1520855,4.172,4.072
-544.911243,416.574264,4.179,4.088
-543.667643,418.996575,4.186,4.104
-542.427245,421.419451,4.192,4.119
-541.192129,423.843099,4.199,4.135
-539.961615,426.267366,4.206,4.151
-538.73478,428.692067,4.213,4.166
-537.510697,431.1170175,4.220,4.182
-536.288441,433.542032,4.227,4.198
-535.067085,435.9669245,4.234,4.214
-533.845705,438.3915115,4.241,4.229
-532.623374,440.8156065,4.248,4.245
-531.399167,443.239025,4.255,4.261
-530.172159,445.661582,4.262,4.276
-528.941423,448.083092,4.269,4.292
-527.706034,450.5033705,4.282,4.309
-526.465067,452.9222315,4.307,4.330
-525.218046,455.339668,4.331,4.351
-523.968752,457.757348,4.356,4.372
-522.723309,460.177864,4.381,4.392
-521.487855,462.603831,4.406,4.413
-520.261381,465.0478695,4.434,4.422
-519.003032,467.5379205,4.571,4.107
-517.258692,469.859005,4.270,4.628
-514.340776,471.6217265,4.079,5.503
-510.284609,472.707364,4.657,4.653
-505.400262,473.142654,4.831,4.253
-500.21444,473.234154,4.527,4.391
-495.096356,473.2686345,4.200,4.554
-490.07546,473.3746905,4.320,4.383
-485.152747,473.667597,4.481,4.190
-480.339036,474.229558,4.467,4.211
-475.671027,475.055644,4.555,4.266
-471.189632,476.126746,4.499,4.462
-466.935762,477.423755,4.456,4.519
-462.950329,478.9275625,4.795,3.722
-459.274245,480.6190585,4.408,4.397
-455.947731,482.479034,4.321,4.297
-452.974124,484.4829225,4.263,4.482
-450.302113,486.59822,4.213,4.548
-447.875967,488.791782,4.290,4.438
-445.643419,491.032598,4.495,4.175
-443.582136,493.3081025,4.696,3.926
-441.685097,495.615169,4.542,4.124
-439.944865,497.950709,4.388,4.322
-438.344233,500.310945,4.344,4.349
-436.857496,502.6915045,4.342,4.312
-435.458671,505.0879925,4.339,4.276
-434.121771,507.496017,4.337,4.240
-432.820811,509.911183,4.360,4.210
-431.529806,512.3290975,4.455,4.199
-430.225179,514.7457435,4.551,4.188
-428.903912,517.160317,4.646,4.177
-427.573412,519.5736435,4.602,4.243
-426.241163,521.9865605,4.537,4.321
-424.914652,524.399907,4.472,4.398
-423.601364,526.8145205,4.408,4.476
-422.308786,529.231239,4.343,4.553
-421.043167,531.650765,4.279,4.631
-419.805137,534.0731815,4.214,4.708
-418.593733,536.498397,4.234,4.543
-417.40799,538.92632,4.259,4.360
-416.246944,541.356859,4.285,4.177
-415.109631,543.7899215,4.297,4.061
-413.995087,546.2254165,4.284,4.060
-412.902349,548.6632525,4.271,4.060
-411.830451,551.103337,4.259,4.059
-410.778431,553.5455785,4.246,4.059
-409.745324,555.9898855,4.233,4.058
-408.730166,558.4361665,4.234,4.063
-407.731994,560.884329,4.243,4.072
-406.749842,563.3342825,4.253,4.081
-405.782747,565.785934,4.263,4.089
-404.829745,568.2391925,4.273,4.098
-403.889873,570.6939665,4.283,4.107
-402.962165,573.150164,4.304,4.111
-402.045658,575.607693,4.329,4.113
-401.139388,578.0664625,4.354,4.116
-400.242391,580.52638,4.379,4.118
-399.353703,582.987354,4.404,4.120
-398.47236,585.449293,4.406,4.132
-397.597398,587.9121055,4.359,4.166
-396.727852,590.3756995,4.311,4.200
-395.86276,592.839983,4.264,4.233
-395.001156,595.304865,4.217,4.267
-394.14239,597.7702685,4.170,4.301
-393.288407,600.236243,4.123,4.334
-392.442431,602.7029,4.107,4.351
-391.607696,605.170352,4.126,4.349
-390.787434,607.638711,4.146,4.346
-389.984878,610.1080885,4.165,4.343
-389.203263,612.5785965,4.185,4.341
-388.445822,615.050348,4.205,4.338
-387.715787,617.523454,4.224,4.336
-387.016393,619.998027,4.201,4.286
-386.350873,622.474179,4.175,4.233
-385.722459,624.952022,4.159,4.180
-385.134386,627.431668,4.283,4.119
-384.589882,629.913229,4.406,4.058
-384.090792,632.396771,4.592,3.998
-383.635589,634.882249,4.802,3.938
-383.222244,637.369601,4.724,4.038
-382.848728,639.8587645,4.645,4.139
-382.513012,642.3496785,4.566,4.240
-382.213067,644.8422805,4.487,4.341
-381.946864,647.336509,4.407,4.442
-381.712374,649.832302,4.404,4.457
-381.507568,652.329598,4.437,4.432
-381.330417,654.828334,4.471,4.406
-381.178891,657.328449,4.505,4.380
-381.050963,659.829881,4.538,4.354
-380.944603,662.332568,4.572,4.328
-380.858006,664.836434,4.606,4.302
-380.793112,667.341173,4.639,4.276
-380.754952,669.8462885,4.642,4.241
-380.748648,672.3512775,4.508,4.167
-380.779323,674.8556375,4.374,4.093
-380.852101,677.3588665,4.281,4.051
-380.972103,679.860462,4.259,4.066
-381.144452,682.3599215,4.238,4.081
-381.374273,684.8567425,4.216,4.096
-381.666686,687.3504225,4.194,4.111
-382.026816,689.840459,4.173,4.126
-382.459784,692.3263495,4.176,4.142
-382.970714,694.807592,4.208,4.160
-383.564728,697.283684,4.272,4.157
-384.244988,699.754268,4.395,4.112
-385.00626,702.2196085,4.446,4.099
-385.84106,704.680137,4.390,4.134
-386.741908,707.1362845,4.334,4.169
-387.701322,709.5884815,4.338,4.200
-388.711821,712.03716,4.356,4.230
-389.765923,714.48275,4.360,4.240
-390.856146,716.9256835,4.357,4.239
-391.97501,719.366391,4.355,4.239
-393.115031,721.805304,4.352,4.238
-394.26873,724.242853,4.349,4.237
-395.428624,726.679469,4.346,4.236
-396.587231,729.1155835,4.343,4.235
-397.737165,731.551622,4.340,4.234
-398.875136,733.987769,4.338,4.234
-400.003449,736.4238805,4.335,4.233
-401.12481,738.8597895,4.332,4.232
-402.241924,741.2953275,4.329,4.231
-403.357499,743.730328,4.326,4.230
-404.47424,746.1646225,4.324,4.229
-405.594853,748.598044,4.321,4.229
-406.722045,751.030425,4.318,4.228
-407.858521,753.461598,4.315,4.227
-409.006988,755.891395,4.312,4.226
-410.170153,758.3196485,4.310,4.225
-411.350721,760.7461915,4.307,4.225
-412.551398,763.170856,4.304,4.224
-413.765799,765.5949535,4.301,4.223
-414.917055,768.0312585,4.298,4.222
-415.895369,770.4979015,4.297,4.228
-416.590435,773.012852,4.379,4.595
-416.809729,775.5452645,4.146,4.932
-416.170081,777.951097,4.249,5.073
