# x_m,y_m
-264.9910755,307.900021
-266.6233205,311.681080
-268.147519,315.638551
-269.5656675,319.750756
-270.8805145,323.998103
-272.095446,328.362925
-273.214304,332.829353
-274.241408,337.383103
-275.181762,342.011247
-276.0409455,346.702138
-276.8248185,351.445505
-277.5394715,356.232442
-278.1911715,361.055225
-278.78635,365.907155
-279.3313425,370.782644
-279.831864,375.677206
-280.293247,380.587058
-280.7211185,385.508970
-281.121437,390.440210
-281.498691,395.378777
-281.8546335,400.323670
-282.190217,405.274257
-282.50634,410.229965
-282.803906,415.190268
-283.0838185,420.154682
-283.346986,425.122757
-283.594316,430.094086
-283.8267185,435.068296
-284.0451595,440.045036
-284.250706,445.023974
-284.444458,450.004806
-284.6275065,454.987257
-284.800873,459.971087
-284.965195,464.956133
-285.120603,469.942328
-285.2671785,474.929604
-285.405137,479.917866
-285.5347215,484.907025
-285.6561755,489.897002
-285.7697415,494.887724
-285.8756705,499.879115
-285.974181,504.871115
-286.0652575,509.863681
-286.148657,514.856780
-286.2241225,519.850382
-286.291404,524.844454
-286.350249,529.838952
-286.400405,534.833829
-286.44162,539.829033
-286.47364,544.824507
-286.4962115,549.820187
-286.509079,554.816004
-286.5119875,559.811885
-286.504681,564.807749
-286.486895,569.803501
-286.458459,574.799059
-286.4194795,579.794341
-286.3702125,584.789256
-286.3108865,589.783734
-286.241741,594.777708
-286.163011,599.771114
-286.0749315,604.763896
-285.9777385,609.756000
-285.871665,614.747381
-285.7569455,619.737997
-285.633813,624.727810
-285.5025005,629.716788
-285.3632395,634.704902
-285.216267,639.692128
-285.061764,644.678439
-284.8997495,649.663800
-284.7301595,654.648155
-284.552947,659.631447
-284.3680565,664.613625
-284.1754355,669.594630
-283.9750315,674.574407
-283.7667915,679.552898
-283.550662,684.530044
-283.32659,689.505785
-283.094523,694.480059
-282.854408,699.452806
-282.606192,704.423961
-282.3498235,709.393461
-282.085254,714.361242
-281.812457,719.327240
-281.531469,724.291408
-281.242347,729.253710
-280.9450045,734.214074
-280.6392415,739.172393
-280.3248785,744.128560
-280.001769,749.082477
-279.6697705,754.034042
-279.3287405,758.983151
-278.978537,763.929698
-278.619019,768.873574
-278.2500395,773.814655
-277.8714975,778.752840
-277.483457,783.688080
-277.0860885,788.620346
-276.6795495,793.549622
-276.264,798.475893
-275.839599,803.399143
-275.406506,808.319366
-274.964877,813.236552
-274.51487,818.150698
-274.05664,823.061805
-273.590343,827.969873
-273.116134,832.874908
-272.6341695,837.776920
-272.1446045,842.675920
-271.6475115,847.571888
-271.1428155,852.464742
-270.630398,857.354384
-270.110152,862.240718
-269.5819675,867.123644
-269.0457355,872.003061
-268.5013465,876.878863
-267.948692,881.750943
-267.3876625,886.619193
-266.81815,891.483502
-266.240045,896.343749
-265.6532175,901.199825
-265.055793,906.050633
-264.4318485,910.886998
-263.7332045,915.682227
-262.9050415,920.398409
-261.9182785,924.990330
-260.745909,929.402855
-259.358857,933.552248
-257.7294275,937.331700
-255.850239,940.599156
-253.729879,943.218086
-251.448465,945.276078
-249.091045,946.925459
-246.6913575,948.319215
-244.27836,949.624772
-241.8777515,951.008218
-239.51447,952.616423
-237.217914,954.570347
-235.016284,956.924790
-232.924456,959.652392
-230.9487005,962.707079
-229.093211,966.050381
-227.3597255,969.646392
-225.745793,973.458707
-224.246256,977.453570
-222.8548405,981.602046
-221.565596,985.880684
-220.3729275,990.270138
-219.270592,994.753154
-218.2513325,999.314156
-217.306964,1003.939243
-216.428838,1008.616275
-215.6080155,1013.334785
-214.835341,1018.085747
-214.1014025,1022.861041
-213.3968545,1027.653833
-212.7155985,1032.460208
-212.0541745,1037.277774
-211.408733,1042.103996
-210.775583,1046.936733
-210.1525215,1051.774703
-209.538795,1056.617448
-208.9339205,1061.464650
-208.3372635,1066.315914
-207.748393,1071.170989
-207.1672475,1076.029792
-206.5938485,1080.892271
-206.0282165,1085.758389
-205.470375,1090.628103
-204.9203455,1095.501371
-204.3781505,1100.378149
-203.843812,1105.258394
-203.317352,1110.142063
-202.798793,1115.029113
-202.2881565,1119.919498
-201.785465,1124.813175
-201.2907405,1129.710099
-200.804008,1134.610225
-200.3253615,1139.513534
-199.855175,1144.420108
-199.393973,1149.330091
-198.942051,1154.243534
-198.4995305,1159.160402
-198.066532,1164.080659
-197.643191,1169.004277
-197.229644,1173.931223
-196.8260315,1178.861462
-196.43251,1183.794966
-196.049254,1188.731699
-195.6764585,1193.671631
-195.3144285,1198.614768
-194.9635765,1203.561128
-194.6243265,1208.510721
-194.2970995,1213.463552
-193.982318,1218.419608
-193.6804065,1223.378865
-193.391789,1228.341287
-193.116891,1233.306825
-192.8561395,1238.275413
-192.6099615,1243.246974
-192.378786,1248.221415
-192.1630415,1253.198627
-191.963164,1258.178490
-191.7795415,1263.160856
-191.612399,1268.145541
-191.4618695,1273.132344
-191.328093,1278.121058
-191.2112085,1283.111467
-191.111353,1288.103355
-191.0286665,1293.096498
-190.963286,1298.090666
-190.915351,1303.085624
-190.8850005,1308.081133
-190.8723725,1313.076945
-190.8776085,1318.072809
-190.900846,1323.068462
-190.9422215,1328.063642
-191.0020155,1333.058078
-191.080712,1338.051467
-191.1788525,1343.043478
-191.2969645,1348.033760
-191.435581,1353.021932
-191.595234,1358.007588
-191.776456,1362.990293
-191.979782,1367.969586
-192.2057465,1372.944974
-192.454884,1377.915934
-192.727732,1382.881910
-193.024821,1387.842333
-193.346695,1392.796557
-193.6938285,1397.743922
-194.0663725,1402.683893
-194.463731,1407.616146
-194.8846015,1412.540594
-195.327467,1417.457321
-195.790811,1422.366495
-196.2731255,1427.268355
-196.7729105,1432.163210
-197.2886745,1437.051432
-197.8189325,1441.933447
-198.3622045,1446.809737
-198.917019,1451.680824
-199.481904,1456.547274
-200.0553875,1461.409698
-200.6361715,1466.268654
-201.223262,1471.124587
-201.8157615,1475.977901
-202.412756,1480.829014
-203.0133395,1485.678355
-203.616607,1490.526365
-204.2216555,1495.373491
-204.82758,1500.220173
-205.433484,1505.066879
-206.038451,1509.914032
-206.6415765,1514.762100
-207.2407735,1519.611710
-207.8230575,1524.468578
-208.337751,1529.356162
-208.7080455,1534.297284
-208.8547825,1539.284941
-208.697303,1544.267844
-208.152943,1549.141505
-207.1408315,1553.711956
-205.6211955,1557.653740
-203.60152,1560.534856
-201.2190715,1561.941664
-198.7325205,1561.953803
-196.3028725,1560.832086
-194.031532,1558.754987
-191.993444,1555.874448
-190.216687,1552.366649
-188.7028195,1548.395970
-187.4360335,1544.092784
-186.3900505,1539.557062
-185.5427845,1534.858314
-184.874898,1530.045348
-184.363027,1525.156230
-183.984992,1520.218342
-183.7193875,1515.251094
-183.543947,1510.267764
-183.4363625,1505.276624
-183.3742475,1500.282386
-183.335256,1495.287181
-183.2971315,1490.291974
-183.238097,1485.297624
