# x_m,y_m,w_tr_right_m,w_tr_left_m
-515.314512,-101.82129,4.362,4.646
-521.823206,-98.010785,4.384,4.647
-528.228888,-94.164117,4.405,4.649
-534.605512,-90.309611,4.427,4.650
-541.002642,-86.466054,4.449,4.652
-547.419752,-82.632655,4.471,4.653
-553.850166,-78.806218,4.492,4.655
-560.287208,-74.983546,4.514,4.656
-566.724202,-71.161441,4.536,4.657
-573.15447,-67.336708,4.558,4.659
-579.571336,-63.506149,4.579,4.660
-585.968122,-59.666567,4.601,4.662
-592.338152,-55.814765,4.608,4.648
-598.674752,-51.947548,4.562,4.584
-604.971242,-48.061717,4.516,4.519
-611.220946,-44.154077,4.471,4.455
-617.417188,-40.22143,4.425,4.391
-623.55582,-36.261776,4.380,4.326
-629.66591,-32.288837,4.334,4.262
-635.79992,-28.32741,4.288,4.197
-642.010798,-24.402521,4.243,4.133
-648.351498,-20.539197,4.197,4.069
-654.87497,-16.762465,4.151,4.004
-661.634162,-13.097353,4.235,4.020
-668.675402,-9.56682,4.340,4.013
-676.001284,-6.180192,4.461,3.984
-683.596686,-2.94127,4.372,4.252
-691.446438,0.146161,4.321,4.395
-699.535368,3.078316,4.445,4.084
-707.848302,5.85141,4.467,3.954
-716.370066,8.461659,4.288,4.178
-725.053072,10.933915,4.109,4.402
-733.734416,13.394884,3.933,4.624
-742.22557,15.993908,4.116,4.410
-750.342258,18.876739,4.302,4.215
-758.03194,22.077979,4.509,4.185
-765.395962,25.502381,4.657,4.198
-772.543724,29.047721,4.352,4.539
-779.496984,32.661839,4.062,4.856
-786.103408,36.392019,4.118,4.626
-792.190104,40.297287,4.129,4.437
-797.602558,44.430676,4.062,4.321
-802.419016,48.769312,4.131,4.229
-806.877504,53.238212,4.703,4.227
-811.21441,57.762615,4.984,4.352
-815.522372,62.305174,4.588,4.770
-819.728304,66.871673,4.193,5.188
-823.749936,71.47029,4.378,4.975
-827.50499,76.109204,4.585,4.738
-830.911192,80.796591,4.513,4.556
-833.88627,85.540628,4.325,4.396
-836.354838,90.34864,4.214,4.283
-838.326956,95.217349,4.328,4.306
-839.870448,100.136316,4.441,4.330
-841.054226,105.094963,4.281,4.364
-841.947206,110.082715,4.122,4.398
-842.6183,115.088995,4.073,4.414
-843.13642,120.103228,4.115,4.414
-843.563978,125.115969,4.151,4.409
-843.922514,130.12489,4.111,4.317
-844.217738,135.13042,4.070,4.226
-844.455328,140.132992,4.030,4.135
-844.64096,145.133041,4.065,4.142
-844.780306,150.131001,4.101,4.149
-844.879042,155.127307,4.136,4.156
-844.942846,160.122392,4.171,4.163
-844.97739,165.116692,4.207,4.170
-844.988352,170.110639,4.242,4.177
-844.981408,175.10467,4.278,4.184
-844.96223,180.099217,4.313,4.191
-844.936496,185.094715,4.348,4.198
-844.909874,190.091597,4.384,4.206
-844.887128,195.090091,4.419,4.213
-844.871306,200.090039,4.454,4.220
