# x_m,y_m,w_tr_right_m,w_tr_left_m
385.682762,-1094.644646,7.826,7.474
390.677097,-1094.489954,7.835,7.465
395.671821,-1094.338622,7.843,7.457
400.667011,-1094.18997,7.852,7.448
405.662742,-1094.043322,7.861,7.439
410.65909,-1093.898002,7.870,7.430
415.656132,-1093.753328,7.879,7.421
420.653944,-1093.608626,7.888,7.412
425.652602,-1093.463216,7.897,7.403
430.652182,-1093.316424,7.906,7.394
435.652761,-1093.167568,7.914,7.386
440.654414,-1093.015974,7.923,7.377
445.657217,-1092.860962,7.932,7.368
450.661213,-1092.701398,7.941,7.359
455.66582,-1092.528012,7.950,7.350
460.669927,-1092.324546,7.959,7.341
465.672403,-1092.074522,7.968,7.332
470.672119,-1091.761456,7.977,7.323
475.667945,-1091.368866,7.985,7.315
480.65875,-1090.880274,7.994,7.306
485.643406,-1090.279196,8.003,7.297
490.62078,-1089.54915,7.971,7.329
495.589745,-1088.673654,7.930,7.370
500.549169,-1087.636228,7.890,7.410
505.497924,-1086.420392,7.850,7.450
510.434877,-1085.00967,7.809,7.491
515.358529,-1083.39206,7.797,7.503
520.266447,-1081.566848,7.816,7.484
525.156049,-1079.53509,7.835,7.465
530.024758,-1077.297832,7.854,7.446
534.869992,-1074.856126,7.873,7.427
539.689173,-1072.211026,7.889,7.411
544.47972,-1069.36358,7.904,7.396
549.239054,-1066.31484,7.920,7.380
553.964596,-1063.065856,7.936,7.364
558.653765,-1059.61768,7.899,7.401
563.303982,-1055.971362,7.844,7.456
567.912667,-1052.127954,7.790,7.510
572.477365,-1048.088706,7.736,7.564
576.996683,-1043.856584,7.762,7.538
581.469773,-1039.43543,7.812,7.488
585.895791,-1034.829094,7.863,7.437
590.273893,-1030.041424,7.913,7.387
594.603234,-1025.07627,7.963,7.337
598.88297,-1019.937482,7.904,7.396
603.112257,-1014.628906,7.823,7.477
607.290251,-1009.154396,7.743,7.557
611.416107,-1003.517798,7.675,7.625
615.488982,-997.722962,7.667,7.633
619.508031,-991.773736,7.660,7.640
623.47241,-985.673972,7.654,7.646
627.381275,-979.427518,7.652,7.648
631.233781,-973.03822,7.651,7.649
635.029085,-966.509932,7.642,7.658
638.766342,-959.846502,7.582,7.718
642.444708,-953.051776,7.522,7.778
646.063339,-946.129606,7.473,7.827
649.62139,-939.083842,7.541,7.759
653.118018,-931.918332,7.610,7.690
656.552378,-924.636924,7.683,7.617
659.923626,-917.243468,7.780,7.520
663.230917,-909.741814,7.878,7.422
666.473409,-902.135812,7.975,7.325
669.650198,-894.429168,8.072,7.228
672.759327,-886.622994,8.170,7.130
675.7979,-878.7161,8.254,7.046
678.762989,-870.707216,8.124,7.176
681.651669,-862.595076,7.993,7.307
684.461012,-854.37841,7.862,7.438
687.18809,-846.055948,7.732,7.568
689.829978,-837.626426,7.752,7.548
692.383747,-829.088574,7.865,7.435
694.846472,-820.441122,7.979,7.321
697.215224,-811.682804,8.092,7.208
699.487077,-802.81235,8.056,7.244
701.659104,-793.828492,7.927,7.373
703.728894,-784.730866,7.798,7.502
705.698599,-775.527104,7.669,7.631
707.572747,-766.229,7.541,7.759
709.355887,-756.848386,7.546,7.754
711.052568,-747.397092,7.583,7.717
712.667339,-737.88695,7.619,7.681
714.204653,-728.329714,7.655,7.645
715.663557,-718.732746,7.692,7.608
717.034963,-709.096796,7.729,7.571
718.309109,-699.422066,7.777,7.523
719.476233,-689.70876,7.825,7.475
720.526572,-679.957084,7.871,7.429
721.450468,-670.16726,7.914,7.386
722.244091,-660.340738,7.957,7.343
722.912413,-650.480814,7.949,7.351
723.46114,-640.590936,7.929,7.371
723.895978,-630.674558,7.908,7.392
724.222631,-620.735126,7.875,7.425
724.446805,-610.776092,7.841,7.459
724.575794,-600.800842,7.800,7.500
724.624471,-590.812456,7.734,7.566
724.609966,-580.813924,7.668,7.632
724.549412,-570.808234,7.602,7.698
724.459939,-560.798378,7.537,7.763
724.358678,-550.787346,7.471,7.829
724.262272,-540.77804,7.428,7.872
724.177948,-530.771724,7.458,7.842
724.104455,-520.768182,7.488,7.812
