# x_m,y_m,w_tr_right_m,w_tr_left_m
801.334022,-547.094985,7.852,7.448
811.325484,-547.021661,7.861,7.439
821.31818,-546.949001,7.870,7.430
831.312264,-546.876664,7.879,7.421
841.307888,-546.804313,7.888,7.412
851.305204,-546.731608,7.897,7.403
861.304364,-546.658212,7.906,7.394
871.305522,-546.583784,7.914,7.386
881.308828,-546.507987,7.923,7.377
891.314434,-546.430481,7.932,7.368
901.322426,-546.350699,7.941,7.359
911.33164,-546.264006,7.950,7.350
921.339854,-546.162273,7.959,7.341
931.344806,-546.037261,7.968,7.332
941.344238,-545.880728,7.977,7.323
951.33589,-545.684433,7.985,7.315
961.3175,-545.440137,7.994,7.306
971.286812,-545.139598,8.003,7.297
981.24156,-544.774575,7.971,7.329
991.17949,-544.336827,7.930,7.370
1001.098338,-543.818114,7.890,7.410
1010.995848,-543.210196,7.850,7.450
1020.869754,-542.504835,7.809,7.491
1030.717058,-541.69603,7.797,7.503
1040.532894,-540.783424,7.816,7.484
1050.312098,-539.767545,7.835,7.465
1060.049516,-538.648916,7.854,7.446
1069.739984,-537.428063,7.873,7.427
1079.378346,-536.105513,7.889,7.411
1088.95944,-534.68179,7.904,7.396
1098.478108,-533.15742,7.920,7.380
1107.929192,-531.532928,7.936,7.364
1117.30753,-529.80884,7.899,7.401
1126.607964,-527.985681,7.844,7.456
1135.825334,-526.063977,7.790,7.510
1144.95473,-524.044353,7.736,7.564
1153.993366,-521.928292,7.762,7.538
1162.939546,-519.717715,7.812,7.488
1171.791582,-517.414547,7.863,7.437
1180.547786,-515.020712,7.913,7.387
1189.206468,-512.538135,7.963,7.337
1197.76594,-509.968741,7.904,7.396
1206.224514,-507.314453,7.823,7.477
1214.580502,-504.577198,7.743,7.557
1222.832214,-501.758899,7.675,7.625
1230.977964,-498.861481,7.667,7.633
1239.016062,-495.886868,7.660,7.640
1246.94482,-492.836986,7.654,7.646
1254.76255,-489.713759,7.652,7.648
1262.467562,-486.51911,7.651,7.649
1270.05817,-483.254966,7.642,7.658
1277.532684,-479.923251,7.582,7.718
1284.889416,-476.525888,7.522,7.778
1292.126678,-473.064803,7.473,7.827
1299.24278,-469.541921,7.541,7.759
1306.236036,-465.959166,7.610,7.690
1313.104756,-462.318462,7.683,7.617
1319.847252,-458.621734,7.780,7.520
1326.461834,-454.870907,7.878,7.422
1332.946818,-451.067906,7.975,7.325
1339.300396,-447.214584,8.072,7.228
1345.518654,-443.311497,8.170,7.130
1351.5958,-439.35805,8.254,7.046
1357.525978,-435.353608,8.124,7.176
1363.303338,-431.297538,7.993,7.307
1368.922024,-427.189205,7.862,7.438
1374.37618,-423.027974,7.732,7.568
1379.659956,-418.813213,7.752,7.548
1384.767494,-414.544287,7.865,7.435
1389.692944,-410.220561,7.979,7.321
1394.430448,-405.841402,8.092,7.208
1398.974154,-401.406175,8.056,7.244
1403.318208,-396.914246,7.927,7.373
1407.457788,-392.365433,7.798,7.502
1411.397198,-387.763552,7.669,7.631
1415.145494,-383.1145,7.541,7.759
1418.711774,-378.424193,7.546,7.754
1422.105136,-373.698546,7.583,7.717
1425.334678,-368.943475,7.619,7.681
1428.409306,-364.164857,7.655,7.645
1431.327114,-359.366373,7.692,7.608
1434.069926,-354.548398,7.729,7.571
1436.618218,-349.711033,7.777,7.523
1438.952466,-344.85438,7.825,7.475
1441.053144,-339.978542,7.871,7.429
1442.900936,-335.08363,7.914,7.386
1444.488182,-330.170369,7.957,7.343
1445.824826,-325.240407,7.949,7.351
1446.92228,-320.295468,7.929,7.371
1447.791956,-315.337279,7.908,7.392
1448.445262,-310.367563,7.875,7.425
1448.89361,-305.388046,7.841,7.459
1449.151588,-300.400421,7.800,7.500
1449.248942,-295.406228,7.734,7.566
1449.219932,-290.406962,7.668,7.632
1449.098824,-285.404117,7.602,7.698
1448.919878,-280.399189,7.537,7.763
1448.717356,-275.393673,7.471,7.829
1448.524544,-270.38902,7.428,7.872
1448.355896,-265.385862,7.458,7.842
1448.20891,-260.384091,7.488,7.812
1448.08047,-255.383573,7.518,7.782
1447.967464,-250.384171,7.549,7.751
1447.866774,-245.385753,7.579,7.721
1447.775286,-240.388183,7.609,7.691
1447.68989,-235.391327,7.639,7.661
1447.60747,-230.395049,7.669,7.631
1447.52491,-225.399216,7.699,7.601
1447.439098,-220.403693,7.729,7.571
1447.346918,-215.408344,7.759,7.541
1447.24526,-210.413036,7.789,7.511
1447.131892,-205.417666,7.819,7.481
1447.00694,-200.422225,7.849,7.451
1446.87092,-195.426715,7.860,7.440
1446.724348,-190.431139,7.853,7.447
1446.567742,-185.4355,7.846,7.454
1446.401616,-180.439803,7.839,7.461
1446.226486,-175.444049,7.831,7.469
1446.042868,-170.448243,7.824,7.476
1445.85128,-165.452387,7.817,7.483
1445.652234,-160.456486,7.810,7.490
1445.446252,-155.460542,7.803,7.497
1445.233844,-150.464558,7.796,7.504
1445.01553,-145.468538,7.789,7.511
1444.791826,-140.472485,7.782,7.518
1444.563246,-135.476402,7.775,7.525
1444.330306,-130.480294,7.768,7.532
1444.093522,-125.484162,7.761,7.539
1443.853414,-120.48801,7.754,7.546
1443.610492,-115.491841,7.747,7.553
1443.365278,-110.49566,7.740,7.560
1443.118282,-105.499468,7.733,7.567
1442.870026,-100.50327,7.726,7.574
1442.621022,-95.507068,7.718,7.582
1442.371786,-90.510867,7.711,7.589
1442.122836,-85.514668,7.704,7.596
1441.874618,-80.518475,7.697,7.603
1441.627222,-75.522289,7.690,7.610
1441.380636,-70.526109,7.683,7.617
1441.134844,-65.529936,7.676,7.624
1440.88983,-60.533769,7.669,7.631
1440.645584,-55.537607,7.662,7.638
1440.402086,-50.541452,7.655,7.645
1440.159324,-45.545303,7.648,7.652
1439.917284,-40.549159,7.641,7.659
1439.675948,-35.55302,7.638,7.662
1439.435306,-30.556887,7.639,7.661
1439.195338,-25.560759,7.639,7.661
1438.956032,-20.564637,7.640,7.660
1438.717374,-15.568519,7.641,7.659
1438.479348,-10.572406,7.641,7.659
1438.241938,-5.576299,7.642,7.658
1438.005132,-0.580195,7.643,7.657
1437.768916,4.415904,7.643,7.657
1437.53327,9.411998,7.644,7.656
1437.298184,14.408088,7.645,7.655
1437.063642,19.404174,7.646,7.654
1436.829628,24.400256,7.646,7.654
1436.59613,29.396335,7.647,7.653
1436.36313,34.392409,7.648,7.652
1436.130616,39.38848,7.648,7.652
1435.898572,44.384547,7.649,7.651
1435.666984,49.380611,7.650,7.650
1435.435834,54.376672,7.651,7.649
1435.205112,59.37273,7.651,7.649
1434.974802,64.368784,7.652,7.648
1434.744886,69.364836,7.653,7.647
1434.515352,74.360885,7.653,7.647
1434.286186,79.356932,7.654,7.646
1434.057372,84.352976,7.655,7.645
1433.828896,89.349018,7.655,7.645
1433.600742,94.345057,7.656,7.644
1433.372894,99.341094,7.657,7.643
1433.145342,104.33713,7.658,7.642
1432.918068,109.333163,7.658,7.642
1432.691056,114.329195,7.659,7.641
1432.464294,119.325226,7.660,7.640
1432.237766,124.321254,7.660,7.640
1432.011458,129.317282,7.661,7.639
1431.785356,134.313308,7.662,7.638
1431.559442,139.309333,7.663,7.637
1431.333704,144.305358,7.663,7.637
1431.108126,149.301381,7.664,7.636
1430.882694,154.297404,7.665,7.635
