# x_m,y_m,w_tr_right_m,w_tr_left_m
-257.657256,-203.64258,4.362,4.646
-260.911603,-196.02157,4.384,4.647
-264.114444,-188.328234,4.405,4.649
-267.302756,-180.619222,4.427,4.650
-270.501321,-172.932108,4.449,4.652
-273.709876,-165.26531,4.471,4.653
-276.925083,-157.612436,4.492,4.655
-280.143604,-149.967092,4.514,4.656
-283.362101,-142.322882,4.536,4.657
-286.577235,-134.673416,4.558,4.659
-289.785668,-127.012298,4.579,4.660
-292.984061,-119.333134,4.601,4.662
-296.169076,-111.62953,4.608,4.648
-299.337376,-103.895096,4.562,4.584
-302.485621,-96.123434,4.516,4.519
-305.610473,-88.308154,4.471,4.455
-308.708594,-80.44286,4.425,4.391
-311.77791,-72.523552,4.380,4.326
-314.832955,-64.577674,4.334,4.262
-317.89996,-56.65482,4.288,4.197
-321.005399,-48.805042,4.243,4.133
-324.175749,-41.078394,4.197,4.069
-327.437485,-33.52493,4.151,4.004
-330.817081,-26.194706,4.235,4.020
-334.337701,-19.13364,4.340,4.013
-338.000642,-12.360384,4.461,3.984
-341.798343,-5.88254,4.372,4.252
-345.723219,0.292322,4.321,4.395
-349.767684,6.156632,4.445,4.084
-353.924151,11.70282,4.467,3.954
-358.185033,16.923318,4.288,4.178
-362.526536,21.86783,4.109,4.402
-366.867208,26.789768,3.933,4.624
-371.112785,31.987816,4.116,4.410
-375.171129,37.753478,4.302,4.215
-379.01597,44.155958,4.509,4.185
-382.697981,51.004762,4.657,4.198
-386.271862,58.095442,4.352,4.539
-389.748492,65.323678,4.062,4.856
-393.051704,72.784038,4.118,4.626
-396.095052,80.594574,4.129,4.437
-398.801279,88.861352,4.062,4.321
-401.209508,97.538624,4.131,4.229
-403.438752,106.476424,4.703,4.227
-405.607205,115.52523,4.984,4.352
-407.761186,124.610348,4.588,4.770
-409.864152,133.743346,4.193,5.188
-411.874968,142.94058,4.378,4.975
-413.752495,152.218408,4.585,4.738
-415.455596,161.593182,4.513,4.556
-416.943135,171.081256,4.325,4.396
-418.177419,180.69728,4.214,4.283
-419.163478,190.434698,4.328,4.306
-419.935224,200.272632,4.441,4.330
-420.527113,210.189926,4.281,4.364
-420.973603,220.16543,4.122,4.398
-421.30915,230.17799,4.073,4.414
-421.56821,240.206456,4.115,4.414
-421.781989,250.231938,4.151,4.409
-421.961257,260.24978,4.111,4.317
-422.108869,270.26084,4.070,4.226
-422.227664,280.265984,4.030,4.135
-422.32048,290.266082,4.065,4.142
-422.390153,300.262002,4.101,4.149
-422.439521,310.254614,4.136,4.156
-422.471423,320.244784,4.171,4.163
-422.488695,330.233384,4.207,4.170
-422.494176,340.221278,4.242,4.177
-422.490704,350.20934,4.278,4.184
-422.481115,360.198434,4.313,4.191
-422.468248,370.18943,4.348,4.198
-422.454937,380.183194,4.384,4.206
-422.443564,390.180182,4.419,4.213
-422.435653,400.180078,4.454,4.220
-422.432627,410.182468,4.490,4.227
-422.435912,420.18695,4.525,4.234
-422.446931,430.193112,4.560,4.241
-422.46711,440.200546,4.596,4.248
-422.497873,450.208846,4.631,4.255
-422.540644,460.217602,4.666,4.262
-422.596848,470.226406,4.702,4.270
-422.667911,480.234852,4.737,4.277
-422.755255,490.242528,4.773,4.284
-422.860307,500.24903,4.808,4.291
-422.98449,510.253948,4.833,4.296
-423.141869,520.251184,4.667,4.255
-423.49753,530.166632,4.495,4.258
-424.315978,539.881424,4.324,4.387
-425.863443,549.275888,4.259,4.344
-428.32029,558.150652,4.329,4.591
-431.581782,566.04172,4.462,4.449
-435.484088,572.430256,4.522,4.330
-439.867273,576.885464,4.902,4.228
-444.594867,579.506902,4.803,4.760
-449.539138,580.591724,4.909,4.968
-454.572204,580.435496,4.940,4.973
-459.550116,579.147254,4.935,4.689
-464.322002,576.558378,4.826,4.410
-468.985385,573.15736,4.507,4.341
-473.735569,569.775052,4.074,4.477
-478.576864,566.947444,4.100,4.480
-483.475285,565.150806,4.419,4.447
-488.396506,564.84674,4.468,4.524
-493.297562,566.125434,4.318,4.540
-498.126389,568.68575,4.271,4.568
-502.830642,572.208922,4.536,4.537
-507.371412,576.467386,4.653,4.590
-511.733541,581.394798,4.280,4.847
-515.9043,586.941288,4.297,4.721
-519.870962,593.056996,4.414,4.523
-523.620796,599.692056,4.573,4.347
-527.141075,606.796602,4.633,4.392
-530.419463,614.321004,4.660,4.514
-533.453233,622.221368,4.564,4.659
-536.24958,630.45973,4.241,4.845
-538.816156,638.998388,4.129,4.845
-541.160613,647.79965,4.285,4.611
-543.290601,656.82582,4.191,4.670
-545.213773,666.0392,4.190,4.651
-546.938643,675.403124,4.292,4.545
-548.482909,684.891854,4.393,4.440
-549.869807,694.486258,4.371,4.444
-551.122655,704.167288,4.349,4.447
-552.264766,713.915898,4.328,4.451
-553.319455,723.713046,4.306,4.455
-554.310039,733.539686,4.290,4.458
-555.257111,743.379034,4.319,4.448
-556.166278,753.226754,4.349,4.438
-557.038008,763.08278,4.378,4.429
-557.872767,772.947048,4.408,4.419
-558.67102,782.819496,4.424,4.423
-559.433233,792.70006,4.337,4.537
-560.159869,802.588676,4.250,4.651
-560.851395,812.485282,4.163,4.765
-561.508276,822.389812,4.129,4.763
-562.130977,832.302206,4.144,4.656
-562.719962,842.222398,4.158,4.549
-563.275698,852.150326,4.173,4.442
-563.798648,862.085926,4.188,4.334
